"id";"id_pegawai";"kode_jabatan";"jenis";"jumlah";"valid_from";"valid_to"
345;PGW192;JB01;GAJI POKOK;2000000.0;2011-01-01;2019-12-31
398;PGW192;JB01;GAJI POKOK;1005000.0;2020-01-01;
1142;PGW191;JB03;GAJI POKOK;1.5015E7;2020-01-01;
76;PGW191;JB01;GAJI POKOK;3015000.0;2000-01-01;2010-12-31
236;PGW191;JB01;GAJI POKOK;1000000.0;2011-01-01;2019-12-31
809;PGW190;JB02;GAJI POKOK;6010000.0;2020-01-01;
1089;PGW190;JB03;GAJI POKOK;1.5E7;2011-01-01;2019-12-31
1332;PGW190;JB03;GAJI POKOK;5005000.0;2000-01-01;2010-12-31
1212;PGW189;JB03;GAJI POKOK;5005000.0;2020-01-01;
1005;PGW189;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
213;PGW189;JB01;GAJI POKOK;3015000.0;2000-01-01;2010-12-31
1259;PGW188;JB03;GAJI POKOK;1.001E7;2020-01-01;
1092;PGW188;JB03;GAJI POKOK;1.001E7;2000-01-01;2010-12-31
687;PGW188;JB02;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
834;PGW187;JB02;GAJI POKOK;9015000.0;2020-01-01;
1161;PGW187;JB03;GAJI POKOK;1.5015E7;2000-01-01;2010-12-31
1695;PGW187;JB04;GAJI POKOK;3.2E7;2011-01-01;2019-12-31
1621;PGW186;JB04;GAJI POKOK;1.601E7;2020-01-01;
1733;PGW186;JB04;GAJI POKOK;2.4015E7;2000-01-01;2010-12-31
175;PGW186;JB01;GAJI POKOK;1000000.0;2011-01-01;2019-12-31
1231;PGW185;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
888;PGW185;JB02;GAJI POKOK;6010000.0;2020-01-01;
962;PGW185;JB03;GAJI POKOK;1.001E7;2000-01-01;2010-12-31
435;PGW184;JB01;GAJI POKOK;1005000.0;2000-01-01;2010-12-31
618;PGW184;JB02;GAJI POKOK;6000000.0;2011-01-01;2019-12-31
857;PGW184;JB02;GAJI POKOK;3005000.0;2020-01-01;
1003;PGW183;JB03;GAJI POKOK;5005000.0;2020-01-01;
95;PGW183;JB01;GAJI POKOK;3015000.0;2000-01-01;2010-12-31
865;PGW183;JB02;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
731;PGW182;JB02;GAJI POKOK;3005000.0;2000-01-01;2010-12-31
744;PGW182;JB02;GAJI POKOK;9000000.0;2011-01-01;2019-12-31
549;PGW182;JB02;GAJI POKOK;9015000.0;2020-01-01;
1269;PGW181;JB03;GAJI POKOK;1.5E7;2011-01-01;2019-12-31
1404;PGW181;JB04;GAJI POKOK;3.202E7;2000-01-01;2010-12-31
1774;PGW181;JB04;GAJI POKOK;2.4015E7;2020-01-01;
928;PGW180;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
352;PGW180;JB01;GAJI POKOK;2010000.0;2000-01-01;2010-12-31
634;PGW180;JB02;GAJI POKOK;6010000.0;2020-01-01;
575;PGW179;JB02;GAJI POKOK;3005000.0;2000-01-01;2010-12-31
1069;PGW179;JB03;GAJI POKOK;1.5E7;2011-01-01;2019-12-31
1556;PGW179;JB04;GAJI POKOK;3.202E7;2020-01-01;
784;PGW178;JB02;GAJI POKOK;9015000.0;2020-01-01;
965;PGW178;JB03;GAJI POKOK;1.5E7;2011-01-01;2019-12-31
1325;PGW178;JB03;GAJI POKOK;5005000.0;2000-01-01;2010-12-31
407;PGW177;JB01;GAJI POKOK;1005000.0;2000-01-01;2010-12-31
880;PGW177;JB02;GAJI POKOK;6000000.0;2011-01-01;2019-12-31
629;PGW177;JB02;GAJI POKOK;6010000.0;2020-01-01;
1359;PGW176;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
1207;PGW176;JB03;GAJI POKOK;1.001E7;2000-01-01;2010-12-31
926;PGW176;JB03;GAJI POKOK;5005000.0;2020-01-01;
1563;PGW175;JB04;GAJI POKOK;1.601E7;2000-01-01;2010-12-31
1342;PGW175;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
56;PGW175;JB01;GAJI POKOK;2010000.0;2020-01-01;
711;PGW174;JB02;GAJI POKOK;3005000.0;2000-01-01;2010-12-31
1275;PGW174;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
1057;PGW174;JB03;GAJI POKOK;5005000.0;2020-01-01;
52;PGW173;JB01;GAJI POKOK;1005000.0;2020-01-01;
639;PGW173;JB02;GAJI POKOK;3005000.0;2000-01-01;2010-12-31
1190;PGW173;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
38;PGW172;JB01;GAJI POKOK;1005000.0;2020-01-01;
799;PGW172;JB02;GAJI POKOK;9015000.0;2000-01-01;2010-12-31
684;PGW172;JB02;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
145;PGW171;JB01;GAJI POKOK;1000000.0;2011-01-01;2019-12-31
1077;PGW171;JB03;GAJI POKOK;1.5015E7;2000-01-01;2010-12-31
749;PGW171;JB02;GAJI POKOK;3005000.0;2020-01-01;
107;PGW170;JB01;GAJI POKOK;2000000.0;2011-01-01;2019-12-31
1683;PGW170;JB04;GAJI POKOK;2.4015E7;2000-01-01;2010-12-31
667;PGW170;JB02;GAJI POKOK;9015000.0;2020-01-01;
1495;PGW169;JB04;GAJI POKOK;2.4015E7;2020-01-01;
1032;PGW169;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
587;PGW169;JB02;GAJI POKOK;6010000.0;2000-01-01;2010-12-31
722;PGW168;JB02;GAJI POKOK;6010000.0;2020-01-01;
830;PGW168;JB02;GAJI POKOK;6010000.0;2000-01-01;2010-12-31
1047;PGW168;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
238;PGW167;JB01;GAJI POKOK;1005000.0;2020-01-01;
501;PGW167;JB02;GAJI POKOK;9000000.0;2011-01-01;2019-12-31
173;PGW167;JB01;GAJI POKOK;3015000.0;2000-01-01;2010-12-31
96;PGW166;JB01;GAJI POKOK;1005000.0;2020-01-01;
1619;PGW166;JB04;GAJI POKOK;1.601E7;2000-01-01;2010-12-31
1232;PGW166;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
463;PGW165;JB01;GAJI POKOK;1000000.0;2011-01-01;2019-12-31
108;PGW165;JB01;GAJI POKOK;1005000.0;2020-01-01;
400;PGW165;JB01;GAJI POKOK;1005000.0;2000-01-01;2010-12-31
280;PGW164;JB01;GAJI POKOK;2010000.0;2020-01-01;
1702;PGW164;JB04;GAJI POKOK;3.202E7;2000-01-01;2010-12-31
1371;PGW164;JB04;GAJI POKOK;3.2E7;2011-01-01;2019-12-31
676;PGW163;JB02;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
939;PGW163;JB03;GAJI POKOK;5005000.0;2000-01-01;2010-12-31
1526;PGW163;JB04;GAJI POKOK;8005000.0;2020-01-01;
983;PGW162;JB03;GAJI POKOK;1.001E7;2000-01-01;2010-12-31
976;PGW162;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
1318;PGW162;JB03;GAJI POKOK;1.001E7;2020-01-01;
1735;PGW161;JB04;GAJI POKOK;2.4015E7;2020-01-01;
859;PGW161;JB02;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
20;PGW161;JB01;GAJI POKOK;1005000.0;2000-01-01;2010-12-31
702;PGW160;JB02;GAJI POKOK;3005000.0;2020-01-01;
938;PGW160;JB03;GAJI POKOK;1.001E7;2000-01-01;2010-12-31
675;PGW160;JB02;GAJI POKOK;6000000.0;2011-01-01;2019-12-31
1270;PGW159;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
1344;PGW159;JB03;GAJI POKOK;1.5015E7;2020-01-01;
1435;PGW159;JB04;GAJI POKOK;8005000.0;2000-01-01;2010-12-31
163;PGW158;JB01;GAJI POKOK;1000000.0;2011-01-01;2019-12-31
790;PGW158;JB02;GAJI POKOK;9015000.0;2020-01-01;
452;PGW158;JB01;GAJI POKOK;1005000.0;2000-01-01;2010-12-31
102;PGW157;JB01;GAJI POKOK;3015000.0;2000-01-01;2010-12-31
182;PGW157;JB01;GAJI POKOK;1000000.0;2011-01-01;2019-12-31
1631;PGW157;JB04;GAJI POKOK;1.601E7;2020-01-01;
500;PGW156;JB02;GAJI POKOK;9015000.0;2000-01-01;2010-12-31
446;PGW156;JB01;GAJI POKOK;1005000.0;2020-01-01;
317;PGW156;JB01;GAJI POKOK;1000000.0;2011-01-01;2019-12-31
1681;PGW155;JB04;GAJI POKOK;1.601E7;2020-01-01;
161;PGW155;JB01;GAJI POKOK;2000000.0;2011-01-01;2019-12-31
22;PGW155;JB01;GAJI POKOK;1005000.0;2000-01-01;2010-12-31
114;PGW154;JB01;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
1167;PGW154;JB03;GAJI POKOK;5005000.0;2000-01-01;2010-12-31
404;PGW154;JB01;GAJI POKOK;3015000.0;2020-01-01;
1157;PGW153;JB03;GAJI POKOK;1.5015E7;2020-01-01;
45;PGW153;JB01;GAJI POKOK;2000000.0;2011-01-01;2019-12-31
1457;PGW153;JB04;GAJI POKOK;1.601E7;2000-01-01;2010-12-31
1255;PGW152;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
105;PGW152;JB01;GAJI POKOK;2010000.0;2020-01-01;
772;PGW152;JB02;GAJI POKOK;9015000.0;2000-01-01;2010-12-31
1601;PGW151;JB04;GAJI POKOK;2.4015E7;2020-01-01;
1580;PGW151;JB04;GAJI POKOK;3.2E7;2011-01-01;2019-12-31
1284;PGW151;JB03;GAJI POKOK;5005000.0;2000-01-01;2010-12-31
172;PGW150;JB01;GAJI POKOK;3015000.0;2000-01-01;2010-12-31
1420;PGW150;JB04;GAJI POKOK;3.2E7;2011-01-01;2019-12-31
1670;PGW150;JB04;GAJI POKOK;2.4015E7;2020-01-01;
794;PGW149;JB02;GAJI POKOK;3005000.0;2000-01-01;2010-12-31
1672;PGW149;JB04;GAJI POKOK;8005000.0;2020-01-01;
1221;PGW149;JB03;GAJI POKOK;1.0E7;2011-01-01;2019-12-31
789;PGW148;JB02;GAJI POKOK;9000000.0;2011-01-01;2019-12-31
1484;PGW148;JB04;GAJI POKOK;1.601E7;2020-01-01;
128;PGW148;JB01;GAJI POKOK;2010000.0;2000-01-01;2010-12-31
460;PGW147;JB01;GAJI POKOK;1005000.0;2000-01-01;2010-12-31
1682;PGW147;JB04;GAJI POKOK;3.2E7;2011-01-01;2019-12-31
292;PGW147;JB01;GAJI POKOK;2010000.0;2020-01-01;
1693;PGW146;JB04;GAJI POKOK;3.2E7;2011-01-01;2019-12-31
956;PGW146;JB03;GAJI POKOK;1.5015E7;2020-01-01;
827;PGW146;JB02;GAJI POKOK;6010000.0;2000-01-01;2010-12-31
315;PGW145;JB01;GAJI POKOK;1005000.0;2000-01-01;2010-12-31
2;PGW145;JB01;GAJI POKOK;2000000.0;2011-01-01;2019-12-31
149;PGW145;JB01;GAJI POKOK;2010000.0;2020-01-01;
166;PGW144;JB01;GAJI POKOK;1000000.0;2011-01-01;2019-12-31
636;PGW144;JB02;GAJI POKOK;6010000.0;2020-01-01;
1664;PGW144;JB04;GAJI POKOK;8005000.0;2000-01-01;2010-12-31
1300;PGW143;JB03;GAJI POKOK;1.0E7;2011-01-01;2019-12-31
1470;PGW143;JB04;GAJI POKOK;3.202E7;2000-01-01;2010-12-31
224;PGW143;JB01;GAJI POKOK;2010000.0;2020-01-01;
1201;PGW142;JB03;GAJI POKOK;1.001E7;2020-01-01;
1134;PGW142;JB03;GAJI POKOK;5005000.0;2000-01-01;2010-12-31
630;PGW142;JB02;GAJI POKOK;6000000.0;2011-01-01;2019-12-31
650;PGW141;JB02;GAJI POKOK;9000000.0;2011-01-01;2019-12-31
1044;PGW141;JB03;GAJI POKOK;1.001E7;2000-01-01;2010-12-31
1478;PGW141;JB04;GAJI POKOK;3.202E7;2020-01-01;
393;PGW140;JB01;GAJI POKOK;1000000.0;2011-01-01;2019-12-31
1360;PGW140;JB03;GAJI POKOK;1.5015E7;2000-01-01;2010-12-31
1620;PGW140;JB04;GAJI POKOK;8005000.0;2020-01-01;
1030;PGW139;JB03;GAJI POKOK;5005000.0;2020-01-01;
1330;PGW139;JB03;GAJI POKOK;1.001E7;2000-01-01;2010-12-31
1780;PGW139;JB04;GAJI POKOK;1.6E7;2011-01-01;2019-12-31
1349;PGW138;JB03;GAJI POKOK;1.5015E7;2020-01-01;
1373;PGW138;JB04;GAJI POKOK;1.6E7;2011-01-01;2019-12-31
936;PGW138;JB03;GAJI POKOK;1.5015E7;2000-01-01;2010-12-31
673;PGW137;JB02;GAJI POKOK;6000000.0;2011-01-01;2019-12-31
451;PGW137;JB01;GAJI POKOK;1005000.0;2020-01-01;
1795;PGW137;JB04;GAJI POKOK;2.4015E7;2000-01-01;2010-12-31
683;PGW136;JB02;GAJI POKOK;6000000.0;2011-01-01;2019-12-31
1561;PGW136;JB04;GAJI POKOK;2.4015E7;2000-01-01;2010-12-31
119;PGW136;JB01;GAJI POKOK;1005000.0;2020-01-01;
1271;PGW135;JB03;GAJI POKOK;1.5015E7;2000-01-01;2010-12-31
480;PGW135;JB02;GAJI POKOK;9000000.0;2011-01-01;2019-12-31
125;PGW135;JB01;GAJI POKOK;1005000.0;2020-01-01;
408;PGW134;JB01;GAJI POKOK;1005000.0;2000-01-01;2010-12-31
1749;PGW134;JB04;GAJI POKOK;3.2E7;2011-01-01;2019-12-31
747;PGW134;JB02;GAJI POKOK;6010000.0;2020-01-01;
1369;PGW133;JB04;GAJI POKOK;3.202E7;2000-01-01;2010-12-31
1617;PGW133;JB04;GAJI POKOK;1.601E7;2020-01-01;
802;PGW133;JB02;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
428;PGW132;JB01;GAJI POKOK;2010000.0;2000-01-01;2010-12-31
1431;PGW132;JB04;GAJI POKOK;3.202E7;2020-01-01;
730;PGW132;JB02;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
940;PGW131;JB03;GAJI POKOK;1.001E7;2000-01-01;2010-12-31
1091;PGW131;JB03;GAJI POKOK;1.001E7;2020-01-01;
1730;PGW131;JB04;GAJI POKOK;2.4E7;2011-01-01;2019-12-31
138;PGW130;JB01;GAJI POKOK;3015000.0;2000-01-01;2010-12-31
919;PGW130;JB03;GAJI POKOK;1.001E7;2020-01-01;
1570;PGW130;JB04;GAJI POKOK;8000000.0;2011-01-01;2019-12-31
1054;PGW129;JB03;GAJI POKOK;1.5E7;2011-01-01;2019-12-31
1389;PGW129;JB04;GAJI POKOK;2.4015E7;2020-01-01;
1206;PGW129;JB03;GAJI POKOK;5005000.0;2000-01-01;2010-12-31
1118;PGW128;JB03;GAJI POKOK;1.5E7;2011-01-01;2019-12-31
757;PGW128;JB02;GAJI POKOK;9015000.0;2020-01-01;
700;PGW128;JB02;GAJI POKOK;3005000.0;2000-01-01;2010-12-31
1338;PGW127;JB03;GAJI POKOK;1.001E7;2000-01-01;2010-12-31
1078;PGW127;JB03;GAJI POKOK;1.5015E7;2020-01-01;
1036;PGW127;JB03;GAJI POKOK;1.0E7;2011-01-01;2019-12-31
923;PGW126;JB03;GAJI POKOK;1.001E7;2000-01-01;2010-12-31
208;PGW126;JB01;GAJI POKOK;2000000.0;2011-01-01;2019-12-31
1398;PGW126;JB04;GAJI POKOK;3.202E7;2020-01-01;
1757;PGW125;JB04;GAJI POKOK;8005000.0;2020-01-01;
620;PGW125;JB02;GAJI POKOK;6000000.0;2011-01-01;2019-12-31
1586;PGW125;JB04;GAJI POKOK;3.202E7;2000-01-01;2010-12-31
1641;PGW124;JB04;GAJI POKOK;2.4015E7;2020-01-01;
813;PGW124;JB02;GAJI POKOK;3005000.0;2000-01-01;2010-12-31
287;PGW124;JB01;GAJI POKOK;1000000.0;2011-01-01;2019-12-31
1498;PGW123;JB04;GAJI POKOK;8005000.0;2000-01-01;2010-12-31
1686;PGW123;JB04;GAJI POKOK;8000000.0;2011-01-01;2019-12-31
269;PGW123;JB01;GAJI POKOK;1005000.0;2020-01-01;
1509;PGW122;JB04;GAJI POKOK;2.4E7;2011-01-01;2019-12-31
1177;PGW122;JB03;GAJI POKOK;1.001E7;2020-01-01;
1233;PGW122;JB03;GAJI POKOK;1.5015E7;2000-01-01;2010-12-31
158;PGW121;JB01;GAJI POKOK;3015000.0;2000-01-01;2010-12-31
1081;PGW121;JB03;GAJI POKOK;1.001E7;2020-01-01;
1171;PGW121;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
1599;PGW120;JB04;GAJI POKOK;1.601E7;2000-01-01;2010-12-31
318;PGW120;JB01;GAJI POKOK;2000000.0;2011-01-01;2019-12-31
73;PGW120;JB01;GAJI POKOK;1005000.0;2020-01-01;
1521;PGW119;JB04;GAJI POKOK;2.4E7;2011-01-01;2019-12-31
1430;PGW119;JB04;GAJI POKOK;8005000.0;2020-01-01;
270;PGW119;JB01;GAJI POKOK;1005000.0;2000-01-01;2010-12-31
966;PGW118;JB03;GAJI POKOK;1.5E7;2011-01-01;2019-12-31
753;PGW118;JB02;GAJI POKOK;9015000.0;2000-01-01;2010-12-31
1158;PGW118;JB03;GAJI POKOK;1.001E7;2020-01-01;
378;PGW117;JB01;GAJI POKOK;2010000.0;2020-01-01;
954;PGW117;JB03;GAJI POKOK;1.0E7;2011-01-01;2019-12-31
289;PGW117;JB01;GAJI POKOK;3015000.0;2000-01-01;2010-12-31
838;PGW116;JB02;GAJI POKOK;3005000.0;2000-01-01;2010-12-31
189;PGW116;JB01;GAJI POKOK;3015000.0;2020-01-01;
713;PGW116;JB02;GAJI POKOK;6000000.0;2011-01-01;2019-12-31
277;PGW115;JB01;GAJI POKOK;2010000.0;2000-01-01;2010-12-31
599;PGW115;JB02;GAJI POKOK;6010000.0;2020-01-01;
1548;PGW115;JB04;GAJI POKOK;8000000.0;2011-01-01;2019-12-31
1506;PGW114;JB04;GAJI POKOK;3.202E7;2020-01-01;
1196;PGW114;JB03;GAJI POKOK;1.0E7;2011-01-01;2019-12-31
1023;PGW114;JB03;GAJI POKOK;1.001E7;2000-01-01;2010-12-31
705;PGW113;JB02;GAJI POKOK;9015000.0;2020-01-01;
1744;PGW113;JB04;GAJI POKOK;8005000.0;2000-01-01;2010-12-31
362;PGW113;JB01;GAJI POKOK;1000000.0;2011-01-01;2019-12-31
1198;PGW112;JB03;GAJI POKOK;1.5015E7;2020-01-01;
729;PGW112;JB02;GAJI POKOK;9000000.0;2011-01-01;2019-12-31
610;PGW112;JB02;GAJI POKOK;6010000.0;2000-01-01;2010-12-31
1636;PGW111;JB04;GAJI POKOK;1.601E7;2000-01-01;2010-12-31
920;PGW111;JB03;GAJI POKOK;1.0E7;2011-01-01;2019-12-31
215;PGW111;JB01;GAJI POKOK;2010000.0;2020-01-01;
3;PGW110;JB01;GAJI POKOK;3015000.0;2000-01-01;2010-12-31
997;PGW110;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
16;PGW110;JB01;GAJI POKOK;3015000.0;2020-01-01;
482;PGW109;JB02;GAJI POKOK;6000000.0;2011-01-01;2019-12-31
1088;PGW109;JB03;GAJI POKOK;5005000.0;2020-01-01;
1717;PGW109;JB04;GAJI POKOK;3.202E7;2000-01-01;2010-12-31
1584;PGW108;JB04;GAJI POKOK;2.4E7;2011-01-01;2019-12-31
129;PGW108;JB01;GAJI POKOK;2010000.0;2020-01-01;
1286;PGW108;JB03;GAJI POKOK;1.5015E7;2000-01-01;2010-12-31
332;PGW107;JB01;GAJI POKOK;1005000.0;2000-01-01;2010-12-31
604;PGW107;JB02;GAJI POKOK;6000000.0;2011-01-01;2019-12-31
1722;PGW107;JB04;GAJI POKOK;8005000.0;2020-01-01;
989;PGW106;JB03;GAJI POKOK;1.5E7;2011-01-01;2019-12-31
387;PGW106;JB01;GAJI POKOK;2010000.0;2000-01-01;2010-12-31
937;PGW106;JB03;GAJI POKOK;5005000.0;2020-01-01;
1701;PGW105;JB04;GAJI POKOK;1.601E7;2000-01-01;2010-12-31
742;PGW105;JB02;GAJI POKOK;6010000.0;2020-01-01;
375;PGW105;JB01;GAJI POKOK;1000000.0;2011-01-01;2019-12-31
1652;PGW104;JB04;GAJI POKOK;2.4015E7;2000-01-01;2010-12-31
1605;PGW104;JB04;GAJI POKOK;2.4015E7;2020-01-01;
1027;PGW104;JB03;GAJI POKOK;1.5E7;2011-01-01;2019-12-31
752;PGW103;JB02;GAJI POKOK;9015000.0;2020-01-01;
1629;PGW103;JB04;GAJI POKOK;2.4015E7;2000-01-01;2010-12-31
1736;PGW103;JB04;GAJI POKOK;8000000.0;2011-01-01;2019-12-31
699;PGW102;JB02;GAJI POKOK;3005000.0;2020-01-01;
288;PGW102;JB01;GAJI POKOK;3015000.0;2000-01-01;2010-12-31
244;PGW102;JB01;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
1058;PGW101;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
1060;PGW101;JB03;GAJI POKOK;1.5015E7;2000-01-01;2010-12-31
259;PGW101;JB01;GAJI POKOK;3015000.0;2020-01-01;
1380;PGW100;JB04;GAJI POKOK;8000000.0;2011-01-01;2019-12-31
1055;PGW100;JB03;GAJI POKOK;1.001E7;2000-01-01;2010-12-31
820;PGW100;JB02;GAJI POKOK;6010000.0;2020-01-01;
1004;PGW099;JB03;GAJI POKOK;1.5015E7;2000-01-01;2010-12-31
1588;PGW099;JB04;GAJI POKOK;1.601E7;2020-01-01;
284;PGW099;JB01;GAJI POKOK;2000000.0;2011-01-01;2019-12-31
1102;PGW098;JB03;GAJI POKOK;5005000.0;2020-01-01;
1480;PGW098;JB04;GAJI POKOK;3.202E7;2000-01-01;2010-12-31
1038;PGW098;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
1597;PGW097;JB04;GAJI POKOK;3.2E7;2011-01-01;2019-12-31
1350;PGW097;JB03;GAJI POKOK;1.5015E7;2020-01-01;
701;PGW097;JB02;GAJI POKOK;3005000.0;2000-01-01;2010-12-31
1322;PGW096;JB03;GAJI POKOK;1.001E7;2000-01-01;2010-12-31
913;PGW096;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
66;PGW096;JB01;GAJI POKOK;2010000.0;2020-01-01;
943;PGW095;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
368;PGW095;JB01;GAJI POKOK;1005000.0;2020-01-01;
1524;PGW095;JB04;GAJI POKOK;2.4015E7;2000-01-01;2010-12-31
1656;PGW094;JB04;GAJI POKOK;8005000.0;2000-01-01;2010-12-31
990;PGW094;JB03;GAJI POKOK;1.5E7;2011-01-01;2019-12-31
1223;PGW094;JB03;GAJI POKOK;1.5015E7;2020-01-01;
36;PGW093;JB01;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
1765;PGW093;JB04;GAJI POKOK;1.601E7;2020-01-01;
1706;PGW093;JB04;GAJI POKOK;1.601E7;2000-01-01;2010-12-31
1527;PGW092;JB04;GAJI POKOK;1.6E7;2011-01-01;2019-12-31
395;PGW092;JB01;GAJI POKOK;2010000.0;2000-01-01;2010-12-31
764;PGW092;JB02;GAJI POKOK;6010000.0;2020-01-01;
1262;PGW091;JB03;GAJI POKOK;5005000.0;2000-01-01;2010-12-31
1610;PGW091;JB04;GAJI POKOK;1.601E7;2020-01-01;
111;PGW091;JB01;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
1199;PGW090;JB03;GAJI POKOK;1.001E7;2020-01-01;
941;PGW090;JB03;GAJI POKOK;1.5E7;2011-01-01;2019-12-31
1516;PGW090;JB04;GAJI POKOK;3.202E7;2000-01-01;2010-12-31
1364;PGW089;JB03;GAJI POKOK;1.001E7;2020-01-01;
176;PGW089;JB01;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
1499;PGW089;JB04;GAJI POKOK;3.202E7;2000-01-01;2010-12-31
523;PGW088;JB02;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
24;PGW088;JB01;GAJI POKOK;3015000.0;2020-01-01;
466;PGW088;JB02;GAJI POKOK;9015000.0;2000-01-01;2010-12-31
334;PGW087;JB01;GAJI POKOK;1000000.0;2011-01-01;2019-12-31
1321;PGW087;JB03;GAJI POKOK;1.001E7;2000-01-01;2010-12-31
1512;PGW087;JB04;GAJI POKOK;2.4015E7;2020-01-01;
1340;PGW086;JB03;GAJI POKOK;5000000.0;2011-01-01;2019-12-31
438;PGW086;JB01;GAJI POKOK;3015000.0;2020-01-01;
142;PGW086;JB01;GAJI POKOK;1005000.0;2000-01-01;2010-12-31
546;PGW085;JB02;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
1762;PGW085;JB04;GAJI POKOK;2.4015E7;2000-01-01;2010-12-31
1488;PGW085;JB04;GAJI POKOK;3.202E7;2020-01-01;
1126;PGW084;JB03;GAJI POKOK;5005000.0;2000-01-01;2010-12-31
743;PGW084;JB02;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
440;PGW084;JB01;GAJI POKOK;1005000.0;2020-01-01;
510;PGW083;JB02;GAJI POKOK;6000000.0;2011-01-01;2019-12-31
1692;PGW083;JB04;GAJI POKOK;8005000.0;2020-01-01;
1777;PGW083;JB04;GAJI POKOK;8005000.0;2000-01-01;2010-12-31
1689;PGW082;JB04;GAJI POKOK;1.601E7;2000-01-01;2010-12-31
294;PGW082;JB01;GAJI POKOK;3000000.0;2011-01-01;2019-12-31
133;PGW082;JB01;GAJI POKOK;1005000.0;2020-01-01;
1216;PGW081;JB03;GAJI POKOK;5005000.0;2000-01-01;2010-12-31
1180;PGW081;JB03;GAJI POKOK;1.5E7;2011-01-01;2019-12-31
625;PGW081;JB02;GAJI POKOK;3005000.0;2020-01-01;
